key,base,offset,value,default_type,default,default_ispublic,defaults_blendalpha,tv_type,tv,tv_ispublic,tv_blendalpha,watch_type,watch,watch_ispublic,watch_blendalpha
THEME_KEY_BASE,,0,0,,,,,,,,,,,,
THEME_COLOR_CONTROL_KEY_BASE,THEME_KEY_BASE,50,50,,,,,,,,,,,,
THEME_COLOR_CONTROL_EXTRA_KEY_BASE,THEME_KEY_BASE,100,100,,,,,,,,,,,,
THEME_COLOR_ICON_KEY_BASE,THEME_KEY_BASE,200,200,,,,,,,,,,,,
THEME_COLOR_TEXT_KEY_BASE,THEME_KEY_BASE,250,250,,,,,,,,,,,,
THEME_COLOR_SWATCH_KEY_BASE,THEME_KEY_BASE,300,300,,,,,,,,,,,,
THEME_ALPHA_KEY_BASE,THEME_KEY_BASE,400,400,,,,,,,,,,,,
THEME_FONT_SIZE_KEY_BASE,THEME_KEY_BASE,500,500,,,,,,,,,,,,
THEME_FONT_FAMILY_KEY_BASE,THEME_KEY_BASE,550,550,,,,,,,,,,,,
THEME_RADIUS_COMPONENT_KEY_BASE,THEME_KEY_BASE,600,600,,,,,,,,,,,,
THEME_RADIUS_COMMON_KEY_BASE,THEME_KEY_BASE,650,650,,,,,,,,,,,,
THEME_SPACE_SCREEN_KEY_BASE,THEME_KEY_BASE,700,700,,,,,,,,,,,,
THEME_SPACE_SPECIAL_KEY_BASE,THEME_KEY_BASE,720,720,,,,,,,,,,,,
THEME_SPACE_TEXT_KEY_BASE,THEME_KEY_BASE,740,740,,,,,,,,,,,,
THEME_SPACE_COMPONENT_KEY_BASE,THEME_KEY_BASE,760,760,,,,,,,,,,,,
THEME_SPACE_LINE_KEY_BASE,THEME_KEY_BASE,780,780,,,,,,,,,,,,
THEME_OHOS_COLOR_FG,THEME_KEY_BASE,,0,ThemeConstantsType::COLOR,Color(0xff000000),TRUE,,ThemeConstantsType::COLOR,Color(0xfff1f3f5),TRUE,,ThemeConstantsType::COLOR,Color(0xffffffff),TRUE,
